VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJSA1CP5D,Snohomish,Lynnwood,WA,98036,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,32,178216979,POINT (-122.287143 47.812199),PUGET SOUND ENERGY INC,53061051402
5YJSA1S1XE,Snohomish,Bothell,WA,98021,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,1,333002127,POINT (-122.2107298 47.7977268),PUGET SOUND ENERGY INC,53061051937
5YJSA1H18E,Pierce,Bonney Lake,WA,98391,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,31,475440276,POINT (-122.183805 47.18062),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053070208
5YJSA1DP9D,Thurston,Yelm,WA,98597,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,20,159514330,POINT (-122.61023 46.94126),PUGET SOUND ENERGY INC,53067012510
5YJSA1CP8D,King,Seattle,WA,98103,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,46,349769290,POINT (-122.3499053 47.673887),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001800
5YJSA1CG9D,King,Woodinville,WA,98072,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,45,347998913,POINT (-122.151665 47.75855),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032311
5YJSA1S14E,Snohomish,Bothell,WA,98012,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,1,126090583,POINT (-122.1873 47.820245),PUGET SOUND ENERGY INC,53061051921
5YJSA1DN5D,King,Seattle,WA,98122,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,43,180329614,POINT (-122.30839 47.610365),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007502
5YJSA1H17E,Franklin,Pasco,WA,99301,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,16,127782399,POINT (-119.0982 46.232395),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF FRANKLIN COUNTY,53021020402
5YJSA1CP0D,Snohomish,Lynnwood,WA,98037,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,32,202148096,POINT (-122.283973 47.838697),PUGET SOUND ENERGY INC,53061051601
5YJSA1H11E,Whatcom,Bellingham,WA,98226,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,40,167810667,POINT (-122.464218 48.79135),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000804
5YJSA1H10E,Clark,Yacolt,WA,98675,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,18,227445088,POINT (-122.4266427 45.8619031),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040102
5YJSA1H12E,Pierce,Puyallup,WA,98374,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,25,106676013,POINT (-122.275748 47.1395924),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053071207
5YJSA1CG1D,King,Bellevue,WA,98004,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,41,279573038,POINT (-122.202397 47.619252),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023902
5YJSA1CN1D,King,Renton,WA,98058,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,11,122234458,POINT (-122.1298876 47.4451257),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031911
5YJSA1DP5D,Pierce,Bonney Lake,WA,98391,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,31,475916339,POINT (-122.183805 47.18062),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053070208
5YJSA1DP6D,King,Vashon,WA,98070,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,34,223523135,POINT (-122.466938 47.429244),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033027702
5YJSA1H14E,Mason,Shelton,WA,98584,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,35,474808519,POINT (-123.0910261 47.2173827),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,53045960800
5YJSA1H10E,Snohomish,Bothell,WA,98012,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,1,192953134,POINT (-122.1873 47.820245),PUGET SOUND ENERGY INC,53061051921
5YJSA1CN0D,Snohomish,Everett,WA,98204,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,21,199805329,POINT (-122.240535 47.91139),PUGET SOUND ENERGY INC,53061041809
5YJSA1H27E,King,North Bend,WA,98045,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,5,202646237,POINT (-121.7705205 47.4816922),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032706
5YJSA1H24E,Snohomish,Lynnwood,WA,98087,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,21,198749484,POINT (-122.27336 47.861417),PUGET SOUND ENERGY INC,53061051804
5YJSA1DP1D,King,Woodinville,WA,98072,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,45,170380731,POINT (-122.151665 47.75855),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032319
5YJSA1H13E,King,Redmond,WA,98052,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,45,9346263,POINT (-122.1207376 47.6705374),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032322
5YJSA1H13E,King,Sammamish,WA,98074,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,45,260953178,POINT (-122.0313266 47.6285782),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032216
5YJSA1H12E,King,Issaquah,WA,98027,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,5,231681845,POINT (-122.03646 47.534065),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032219
5YJSA1H16E,Chelan,Leavenworth,WA,98826,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,12,233921110,POINT (-120.6860209 47.7095564),PUD NO 1 OF CHELAN COUNTY,53007960202
5YJSA1DP5D,Snohomish,Mill Creek,WA,98012,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,44,126251947,POINT (-122.1873 47.820245),PUGET SOUND ENERGY INC,53061052008
5YJSA1AG3D,King,Woodinville,WA,98072,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,45,164462140,POINT (-122.151665 47.75855),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032311
5YJSA1H14E,Snohomish,Lake Stevens,WA,98258,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,44,266273199,POINT (-122.112265 48.0047),PUGET SOUND ENERGY INC,53061052605
